Country,Year,male_suicides,female_suicides,total_suicides,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),City,Sunshine avg hours
Denmark,1994,56.67,26.58,83.25,406241.67,21.1,156162311732.0,32034.0,Copenhagen,"1,739"
Denmark,1995,52.08,24.92,77.0,407425.0,19.93,185006961302.0,37841.0,Copenhagen,"1,739"
Denmark,1996,52.58,21.75,74.33,409775.0,19.13,187632400366.0,38158.0,Copenhagen,"1,739"
Denmark,1997,46.67,21.42,68.08,411441.67,18.21,173537588008.0,35148.0,Copenhagen,"1,739"
Denmark,1998,45.58,18.0,63.58,413033.33,15.72,176992000955.0,35710.0,Copenhagen,"1,739"
Denmark,1999,46.92,16.58,63.5,414683.33,15.26,177965224621.0,35763.0,Copenhagen,"1,739"
Denmark,2000,44.42,16.25,60.67,416550.83,15.09,164158800460.0,32841.0,Copenhagen,"1,739"
Denmark,2001,42.25,18.33,60.58,418204.25,15.51,164791416350.0,32837.0,Copenhagen,"1,739"
Denmark,2002,41.92,15.42,57.33,420101.83,14.71,178635160297.0,35435.0,Copenhagen,"1,739"
Denmark,2003,40.0,12.75,52.75,421398.58,13.06,218095997085.0,43129.0,Copenhagen,"1,739"
Denmark,2004,39.08,16.0,55.08,422743.92,13.48,251373036671.0,49552.0,Copenhagen,"1,739"
Denmark,2005,38.08,14.5,52.58,424154.33,13.69,264467308109.0,51960.0,Copenhagen,"1,739"
Denmark,2006,39.33,14.83,54.17,425871.67,13.51,282884912894.0,55354.0,Copenhagen,"1,739"
Denmark,2007,33.42,15.0,48.42,427750.08,11.66,319423370134.0,62229.0,Copenhagen,"1,739"
Denmark,2008,34.83,15.42,50.25,430210.42,11.92,353361056080.0,68447.0,Copenhagen,"1,739"
Denmark,2009,39.75,12.08,51.83,432732.5,12.06,321241396034.0,61863.0,Copenhagen,"1,739"
Denmark,2010,33.75,13.17,46.92,434815.42,10.84,321995350347.0,61711.0,Copenhagen,"1,739"
Denmark,2011,36.42,12.67,49.08,437012.5,10.53,344003209696.0,65598.0,Copenhagen,"1,739"
Denmark,2012,41.17,13.92,55.08,439211.58,11.93,327148899962.0,62071.0,Copenhagen,"1,739"
Denmark,2013,37.5,13.33,50.83,441641.5,11.21,343584385594.0,64831.0,Copenhagen,"1,739"
Denmark,2014,39.08,13.33,52.42,444930.5,11.48,352993633221.0,66114.0,Copenhagen,"1,739"
Denmark,2015,32.5,14.5,47.0,448588.33,10.12,301298464861.0,55972.0,Copenhagen,"1,739"
Finland,1987,88.75,24.83,113.58,384508.33,28.95,91642093873.0,19861.0,Helsinki,"1,858"
Finland,1988,92.25,24.58,116.83,386133.33,29.5,109103056148.0,23546.0,Helsinki,"1,858"
Finland,1989,93.17,24.58,117.75,387858.33,31.11,119064708328.0,25582.0,Helsinki,"1,858"
Finland,1990,99.42,26.58,126.0,389591.67,33.02,141517648888.0,30271.0,Helsinki,"1,858"
Finland,1991,99.17,25.25,124.42,391541.67,31.46,127866490222.0,27214.0,Helsinki,"1,858"
Finland,1992,96.33,24.58,120.92,393408.33,29.16,112625431378.0,23857.0,Helsinki,"1,858"
Finland,1993,92.17,24.25,116.42,395083.33,27.75,89255751015.0,18826.0,Helsinki,"1,858"
Finland,1994,90.0,25.58,115.58,396800.0,27.52,103321570859.0,21699.0,Helsinki,"1,858"
Finland,1995,90.0,25.67,115.67,398441.67,27.08,134199346405.0,28068.0,Helsinki,"1,858"
Finland,1996,80.42,23.5,103.92,400183.33,24.14,132099404608.0,27508.0,Helsinki,"1,858"
Finland,1997,86.5,23.67,110.17,401933.33,25.86,126833123354.0,26296.0,Helsinki,"1,858"
Finland,1998,80.17,22.17,102.33,403722.75,25.12,133936359591.0,27646.0,Helsinki,"1,858"
Finland,1999,79.5,21.08,100.58,405354.58,23.59,135225868315.0,27800.0,Helsinki,"1,858"
Finland,2000,72.75,24.33,97.08,406818.33,22.14,125539893127.0,25716.0,Helsinki,"1,858"
Finland,2001,77.75,22.58,100.33,408248.58,22.27,129250111857.0,26383.0,Helsinki,"1,858"
Finland,2002,68.67,22.58,91.25,409634.5,21.29,139552983249.0,28390.0,Helsinki,"1,858"
Finland,2003,67.92,21.67,89.58,410821.33,20.29,171071106095.0,34701.0,Helsinki,"1,858"
Finland,2004,67.67,21.0,88.67,412063.75,20.33,196768065557.0,39793.0,Helsinki,"1,858"
Finland,2005,60.33,22.5,82.83,413482.0,19.21,204436015421.0,41202.0,Helsinki,"1,858"
Finland,2006,66.92,21.58,88.5,414978.33,19.48,216552502823.0,43487.0,Helsinki,"1,858"
Finland,2007,62.58,20.33,82.92,416571.08,18.59,255384615385.0,51089.0,Helsinki,"1,858"
Finland,2008,66.75,19.33,86.08,418341.33,18.36,283742493042.0,56521.0,Helsinki,"1,858"
Finland,2009,63.42,22.75,86.17,420193.0,19.04,251499027508.0,49878.0,Helsinki,"1,858"
Finland,2010,59.83,19.67,79.5,421957.83,17.93,247799815768.0,48939.0,Helsinki,"1,858"
Finland,2011,59.17,16.83,76.0,423832.08,16.97,273674236773.0,53809.0,Helsinki,"1,858"
Finland,2012,54.58,18.17,72.75,425870.83,15.58,256706466091.0,50232.0,Helsinki,"1,858"
Finland,2013,55.5,18.42,73.92,427952.75,16.4,269980111643.0,52572.0,Helsinki,"1,858"
Finland,2014,49.92,15.83,65.75,429995.33,14.76,272609288690.0,52832.0,Helsinki,"1,858"
Finland,2015,46.5,14.42,60.92,431816.42,13.43,232464833066.0,44862.0,Helsinki,"1,858"
Iceland,1985,2.08,0.58,2.67,18341.67,14.25,2939845038.0,13357.0,Reykjavik,"1,326"
Iceland,1986,2.08,1.0,3.08,18525.0,17.92,3930518366.0,17681.0,Reykjavik,"1,326"
Iceland,1987,1.83,1.17,3.0,18800.0,17.5,5438537482.0,24107.0,Reykjavik,"1,326"
Iceland,1988,2.5,0.42,2.92,19100.0,14.0,6016168896.0,26249.0,Reykjavik,"1,326"
Iceland,1989,1.33,0.5,1.83,19333.33,9.18,5588533007.0,24089.0,Reykjavik,"1,326"
Iceland,1990,2.92,0.42,3.33,19441.67,15.03,6372905073.0,27316.0,Reykjavik,"1,326"
Iceland,1991,2.42,0.67,3.08,19658.33,16.64,6807365898.0,28857.0,Reykjavik,"1,326"
Iceland,1992,1.92,0.42,2.33,19833.33,10.24,6976080331.0,29311.0,Reykjavik,"1,326"
Iceland,1993,1.58,0.58,2.17,20041.67,9.08,6126456175.0,25474.0,Reykjavik,"1,326"
Iceland,1994,1.75,0.33,2.08,20225.0,10.45,6294803497.0,25937.0,Reykjavik,"1,326"
Iceland,1995,1.83,0.42,2.25,20391.67,10.8,7018100153.0,28680.0,Reykjavik,"1,326"
Iceland,1996,2.33,0.42,2.75,20541.67,14.78,7330965239.0,29740.0,Reykjavik,"1,326"
Iceland,1997,2.17,0.58,2.75,20744.08,13.67,7548912105.0,30326.0,Reykjavik,"1,326"
Iceland,1998,1.92,0.58,2.5,21021.08,11.76,8453704212.0,33513.0,Reykjavik,"1,326"
Iceland,1999,2.0,0.58,2.58,21318.33,10.74,8917286036.0,34858.0,Reykjavik,"1,326"
Iceland,2000,3.5,0.67,4.17,21643.58,17.33,8927140438.0,34372.0,Reykjavik,"1,326"
Iceland,2001,2.33,0.67,3.0,21978.17,13.59,8136345144.0,30850.0,Reykjavik,"1,326"
Iceland,2002,1.67,0.83,2.5,22204.58,10.94,9207689916.0,34556.0,Reykjavik,"1,326"
Iceland,2003,1.67,0.5,2.17,22360.83,8.41,11316441660.0,42174.0,Reykjavik,"1,326"
Iceland,2004,2.17,0.75,2.92,22632.33,14.07,13722824251.0,50528.0,Reykjavik,"1,326"
Iceland,2005,2.0,0.75,2.75,22910.75,9.58,16691490114.0,60712.0,Reykjavik,"1,326"
Iceland,2006,1.83,0.83,2.67,23583.25,8.87,17048647568.0,60243.0,Reykjavik,"1,326"
Iceland,2007,2.5,0.58,3.08,24142.67,13.61,21319946740.0,73590.0,Reykjavik,"1,326"
Iceland,2008,2.25,0.92,3.17,24736.33,11.34,17658408759.0,59489.0,Reykjavik,"1,326"
Iceland,2009,2.42,0.58,3.0,24683.67,10.31,12944114736.0,43700.0,Reykjavik,"1,326"
Iceland,2010,3.0,0.83,3.83,24551.67,15.36,13310567803.0,45179.0,Reykjavik,"1,326"
Iceland,2011,1.83,0.42,2.25,24622.92,7.75,14732689535.0,49861.0,Reykjavik,"1,326"
Iceland,2012,2.17,0.92,3.08,24769.83,12.12,14292008745.0,48083.0,Reykjavik,"1,326"
Iceland,2013,2.92,1.17,4.08,25038.0,18.44,15548321544.0,51749.0,Reykjavik,"1,326"
Iceland,2014,2.75,0.92,3.67,25372.67,16.5,17304033021.0,56833.0,Reykjavik,"1,326"
Iceland,2015,2.42,0.92,3.33,25712.83,11.72,16942247374.0,54909.0,Reykjavik,"1,326"
Iceland,2016,3.6,0.4,4.0,26877.3,13.81,20304098101.0,64708.0,Reykjavik,"1,326"
Norway,1986,34.92,13.33,48.25,325975.0,13.64,78693253276.0,20117.0,Oslo,"1,668"
Norway,1987,40.5,13.58,54.08,327458.33,15.96,94230055659.0,23980.0,Oslo,"1,668"
Norway,1988,42.5,16.5,59.0,328883.33,17.37,101900260856.0,25820.0,Oslo,"1,668"
Norway,1989,40.08,14.92,55.0,329650.0,16.49,102633789558.0,25945.0,Oslo,"1,668"
Norway,1990,40.67,14.25,54.92,330108.33,15.94,119791683308.0,30240.0,Oslo,"1,668"
Norway,1991,41.58,14.67,56.25,331050.0,16.24,121872464483.0,30678.0,Oslo,"1,668"
Norway,1992,37.42,13.92,51.33,332483.33,15.14,130838040068.0,32793.0,Oslo,"1,668"
Norway,1993,37.42,11.75,49.17,334208.33,14.84,120579072751.0,30066.0,Oslo,"1,668"
Norway,1994,31.58,12.67,44.25,336108.33,12.54,127131461120.0,31520.0,Oslo,"1,668"
Norway,1995,34.25,11.42,45.67,337991.67,13.03,152027402450.0,37483.0,Oslo,"1,668"
Norway,1996,32.42,10.67,43.08,339833.33,12.83,163517783497.0,40098.0,Oslo,"1,668"
Norway,1997,32.25,12.17,44.42,341841.67,13.22,161354369893.0,39335.0,Oslo,"1,668"
Norway,1998,33.25,12.42,45.67,344116.67,12.8,154165219812.0,37334.0,Oslo,"1,668"
Norway,1999,35.83,12.75,48.58,346645.42,13.61,162286003693.0,39013.0,Oslo,"1,668"
Norway,2000,34.08,11.0,45.08,347359.58,12.53,171315639983.0,41099.0,Oslo,"1,668"
Norway,2001,34.25,11.5,45.75,351258.58,12.86,174003247439.0,41281.0,Oslo,"1,668"
Norway,2002,30.17,11.0,41.17,353640.75,11.75,195418347153.0,46049.0,Oslo,"1,668"
Norway,2003,31.17,10.67,41.83,356093.67,11.51,228752436372.0,53533.0,Oslo,"1,668"
Norway,2004,29.92,14.17,44.08,358496.67,11.78,264357494659.0,61450.0,Oslo,"1,668"
Norway,2005,30.0,14.42,44.42,361257.67,11.84,308722079938.0,71215.0,Oslo,"1,668"
Norway,2006,32.58,11.75,44.33,364341.92,11.89,345424664369.0,79007.0,Oslo,"1,668"
Norway,2007,28.0,12.42,40.42,368114.08,10.65,401082621083.0,90797.0,Oslo,"1,668"
Norway,2008,28.92,13.17,42.08,372674.08,11.0,462554432624.0,103431.0,Oslo,"1,668"
Norway,2009,34.67,13.08,47.75,377294.67,12.14,386622457580.0,85394.0,Oslo,"1,668"
Norway,2010,32.0,13.67,45.67,381907.08,11.37,429130952709.0,93638.0,Oslo,"1,668"
Norway,2011,36.17,13.67,49.83,386941.67,12.21,498831558926.0,107430.0,Oslo,"1,668"
Norway,2012,30.75,12.17,42.92,392215.42,10.5,510229136227.0,108408.0,Oslo,"1,668"
Norway,2013,31.5,14.67,46.17,397300.42,10.58,523502127660.0,109804.0,Oslo,"1,668"
Norway,2014,33.42,12.25,45.67,402264.83,10.6,499338534779.0,103443.0,Oslo,"1,668"
Norway,2015,33.33,15.83,49.17,406909.08,11.37,386663139403.0,79187.0,Oslo,"1,668"
Spain,1985,152.42,57.08,209.5,2999750.0,9.58,180302412231.0,5009.0,Madrid,"2,769"
Spain,1986,169.33,60.25,229.58,3018583.33,9.99,250638463467.0,6919.0,Madrid,"2,769"
Spain,1987,168.08,65.58,233.67,3035475.0,10.18,317882187037.0,8727.0,Madrid,"2,769"
Spain,1988,179.17,67.5,246.67,3049775.0,10.61,375138723325.0,10250.0,Madrid,"2,769"
Spain,1989,184.42,64.5,248.92,3061700.0,10.54,413630538018.0,11258.0,Madrid,"2,769"
Spain,1990,177.92,67.0,244.92,3071783.33,10.77,535101248776.0,14517.0,Madrid,"2,769"
Spain,1991,178.25,64.75,243.0,3079841.67,10.15,575598537070.0,15574.0,Madrid,"2,769"
Spain,1992,175.33,56.83,232.17,3083408.33,9.92,629202392004.0,17005.0,Madrid,"2,769"
Spain,1993,190.25,62.83,253.08,3093508.33,10.07,523649481762.0,14106.0,Madrid,"2,769"
Spain,1994,202.42,61.83,264.25,3100258.33,10.36,529121577320.0,14223.0,Madrid,"2,769"
Spain,1995,200.67,62.42,263.08,3106275.0,10.32,612939685081.0,16444.0,Madrid,"2,769"
Spain,1996,204.25,72.42,276.67,3111766.67,10.54,640998292395.0,17166.0,Madrid,"2,769"
Spain,1997,210.5,70.58,281.08,3117083.33,10.94,588692045455.0,15738.0,Madrid,"2,769"
Spain,1998,208.25,63.5,271.75,3121575.0,10.34,617041986858.0,16473.0,Madrid,"2,769"
Spain,1999,200.92,67.42,268.33,3149105.92,9.92,633194118900.0,16756.0,Madrid,"2,769"
Spain,2000,214.58,68.25,282.83,3193333.0,10.18,595402616547.0,15538.0,Madrid,"2,769"
Spain,2001,202.5,63.25,265.75,3226125.33,9.37,625975838926.0,16169.0,Madrid,"2,769"
Spain,2002,212.92,68.08,281.0,3278384.25,9.64,705145868624.0,17924.0,Madrid,"2,769"
Spain,2003,220.83,69.0,289.83,3328963.0,9.71,906853273138.0,22701.0,Madrid,"2,769"
Spain,2004,220.92,71.42,292.33,3379651.92,9.39,1069555500372.0,26372.0,Madrid,"2,769"
Spain,2005,214.17,69.08,283.25,3432956.58,8.97,1157276458152.0,28092.0,Madrid,"2,769"
Spain,2006,209.33,61.25,270.58,3484070.67,8.32,1264551499185.0,30246.0,Madrid,"2,769"
Spain,2007,205.25,66.75,272.0,3545610.58,8.25,1479341637011.0,34769.0,Madrid,"2,769"
Spain,2008,223.0,65.08,288.08,3599957.0,8.21,1635015380108.0,37848.0,Madrid,"2,769"
Spain,2009,222.17,63.58,285.75,3624173.83,8.17,1499099749931.0,34470.0,Madrid,"2,769"
Spain,2010,205.67,57.5,263.17,3632946.33,7.29,1431616749640.0,32839.0,Madrid,"2,769"
Spain,2011,202.92,62.08,265.0,3636880.92,7.38,1488067258325.0,34097.0,Madrid,"2,769"
Spain,2012,227.0,67.92,294.92,3693238.25,8.07,1336018949806.0,30146.0,Madrid,"2,769"
Spain,2013,242.75,80.0,322.75,3685635.42,8.44,1361854206549.0,30792.0,Madrid,"2,769"
Spain,2014,244.83,81.08,325.92,3681064.25,8.7,1376910811041.0,31171.0,Madrid,"2,769"
Spain,2015,223.42,76.92,300.33,3682210.67,8.12,1197789902774.0,27108.0,Madrid,"2,769"
Sweden,1987,89.75,38.67,128.42,659083.33,19.24,180429286796.0,22813.0,Stockholm,"1,821"
Sweden,1988,91.5,41.0,132.5,660908.33,19.31,204068257818.0,25731.0,Stockholm,"1,821"
Sweden,1989,93.5,38.08,131.58,663733.33,19.86,214875344910.0,26978.0,Stockholm,"1,821"
Sweden,1990,85.0,37.58,122.58,667141.67,18.5,258154283909.0,32246.0,Stockholm,"1,821"
Sweden,1991,86.33,37.25,123.58,670091.67,18.13,270362531377.0,33623.0,Stockholm,"1,821"
Sweden,1992,78.0,34.92,112.92,672766.67,16.73,280312318915.0,34721.0,Stockholm,"1,821"
Sweden,1993,79.67,34.75,114.42,676041.67,16.75,209950792713.0,25880.0,Stockholm,"1,821"
Sweden,1994,77.42,32.92,110.33,681175.0,16.31,226079963712.0,27658.0,Stockholm,"1,821"
Sweden,1995,78.0,34.33,112.33,686083.33,15.98,264051981551.0,32072.0,Stockholm,"1,821"
Sweden,1996,72.67,31.75,104.42,689525.0,14.85,288103936773.0,34819.0,Stockholm,"1,821"
Sweden,1997,71.42,28.67,100.08,692608.33,13.93,264477727279.0,31821.0,Stockholm,"1,821"
Sweden,1998,73.5,29.08,102.58,695525.0,14.65,266800462899.0,31966.0,Stockholm,"1,821"
Sweden,1999,71.83,29.83,101.67,698167.75,14.39,270847937645.0,32328.0,Stockholm,"1,821"
Sweden,2000,66.83,27.42,94.25,700750.67,13.54,259802012617.0,30896.0,Stockholm,"1,821"
Sweden,2001,69.42,30.33,99.75,703276.42,13.96,239917320967.0,28429.0,Stockholm,"1,821"
Sweden,2002,71.83,26.5,98.33,705485.67,13.56,263926220333.0,31175.0,Stockholm,"1,821"
Sweden,2003,64.67,28.0,92.67,707544.92,12.78,331108912605.0,38997.0,Stockholm,"1,821"
Sweden,2004,69.5,26.75,96.25,709526.17,13.12,381705425302.0,44831.0,Stockholm,"1,821"
Sweden,2005,69.58,32.0,101.58,711552.0,13.72,389042298377.0,45563.0,Stockholm,"1,821"
Sweden,2006,68.08,31.67,99.75,714670.33,13.4,420032121656.0,48977.0,Stockholm,"1,821"
Sweden,2007,66.75,27.08,93.83,719096.58,12.28,487816328342.0,56531.0,Stockholm,"1,821"
Sweden,2008,71.25,26.25,97.5,724042.0,12.97,513965650650.0,59155.0,Stockholm,"1,821"
Sweden,2009,74.0,29.5,103.5,729660.17,13.37,429657033108.0,49070.0,Stockholm,"1,821"
Sweden,2010,69.83,25.25,95.08,735260.42,12.21,488377689565.0,55352.0,Stockholm,"1,821"
Sweden,2011,65.75,26.92,92.67,740387.0,11.81,563109663291.0,63380.0,Stockholm,"1,821"
Sweden,2012,68.25,27.92,96.17,745742.42,12.34,543880647757.0,60776.0,Stockholm,"1,821"
Sweden,2013,71.83,30.67,102.5,752006.75,13.18,578742001488.0,64133.0,Stockholm,"1,821"
Sweden,2014,65.42,30.25,95.67,759543.67,12.42,573817719109.0,62956.0,Stockholm,"1,821"
Sweden,2015,70.92,27.58,98.5,759543.67,12.44,497918109302.0,54629.0,Stockholm,"1,821"
Sweden,2016,78.2,34.8,113.0,812585.2,13.88,514459972806.0,55594.0,Stockholm,"1,821"
